LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1

duration : 3, tx :1116383, rx :6594, txbr :2661, rxbr :8, txAudioBr :71, rxAudioBr :0, users :1

duration : 5, tx :1978303, rx :9487, txbr :3423, rxbr :11, txAudioBr :78, rxAudioBr :0, users :1

duration : 7, tx :3475877, rx :24101, txbr :6029, rxbr :58, txAudioBr :85, rxAudioBr :0, users :1

duration : 9, tx :4510315, rx :31647, txbr :4125, rxbr :30, txAudioBr :82, rxAudioBr :0, users :1

duration : 11, tx :5443594, rx :35271, txbr :3744, rxbr :14, txAudioBr :81, rxAudioBr :0, users :1

duration : 13, tx :6741905, rx :42997, txbr :5190, rxbr :30, txAudioBr :82, rxAudioBr :0, users :1

duration : 15, tx :7916566, rx :48321, txbr :4698, rxbr :21, txAudioBr :75, rxAudioBr :0, users :1

duration : 17, tx :9249410, rx :54326, txbr :5328, rxbr :24, txAudioBr :83, rxAudioBr :0, users :1

duration : 19, tx :10259227, rx :58389, txbr :4045, rxbr :16, txAudioBr :81, rxAudioBr :0, users :1

duration : 21, tx :11349708, rx :63382, txbr :4361, rxbr :19, txAudioBr :84, rxAudioBr :0, users :1

duration : 23, tx :12478130, rx :67071, txbr :4513, rxbr :14, txAudioBr :84, rxAudioBr :0, users :1

duration : 25, tx :13678929, rx :70923, txbr :4798, rxbr :15, txAudioBr :73, rxAudioBr :0, users :1

duration : 27, tx :14874303, rx :74617, txbr :4783, rxbr :14, txAudioBr :80, rxAudioBr :0, users :1

duration : 29, tx :16064002, rx :77942, txbr :4754, rxbr :13, txAudioBr :82, rxAudioBr :0, users :1

duration : 31, tx :17199700, rx :82131, txbr :4549, rxbr :16, txAudioBr :77, rxAudioBr :0, users :1

duration : 33, tx :18147027, rx :84599, txbr :3789, rxbr :9, txAudioBr :84, rxAudioBr :0, users :1

duration : 35, tx :19066044, rx :86618, txbr :3674, rxbr :8, txAudioBr :83, rxAudioBr :0, users :1

duration : 37, tx :19981034, rx :88718, txbr :3659, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 39, tx :20902212, rx :91028, txbr :3682, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 41, tx :22014693, rx :93892, txbr :4449, rxbr :11, txAudioBr :82, rxAudioBr :0, users :1

duration : 43, tx :23069637, rx :97995, txbr :4221, rxbr :16, txAudioBr :85, rxAudioBr :0, users :1

duration : 45, tx :24127164, rx :102380, txbr :4230, rxbr :17, txAudioBr :80, rxAudioBr :0, users :1

duration : 47, tx :25141076, rx :104840, txbr :4055, rxbr :9, txAudioBr :81, rxAudioBr :0, users :1

duration : 49, tx :26029278, rx :106754, txbr :3552, rxbr :7, txAudioBr :77, rxAudioBr :0, users :1

duration : 51, tx :26904266, rx :108587, txbr :3503, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 53, tx :27833067, rx :111101, txbr :3713, rxbr :10, txAudioBr :76, rxAudioBr :0, users :1

duration : 55, tx :28768796, rx :113896, txbr :3741, rxbr :11, txAudioBr :79, rxAudioBr :0, users :1

duration : 57, tx :29665152, rx :117493, txbr :3585, rxbr :14, txAudioBr :83, rxAudioBr :0, users :1

duration : 59, tx :30524554, rx :119455, txbr :3437, rxbr :7, txAudioBr :76, rxAudioBr :0, users :1

duration : 61, tx :31426412, rx :121417, txbr :3605, rxbr :7, txAudioBr :83, rxAudioBr :0, users :1

duration : 63, tx :32286959, rx :123807, txbr :3440, rxbr :9, txAudioBr :85, rxAudioBr :0, users :1

duration : 65, tx :33053276, rx :125611, txbr :3068, rxbr :7, txAudioBr :73, rxAudioBr :0, users :1

duration : 67, tx :33761359, rx :128808, txbr :2832, rxbr :12, txAudioBr :79, rxAudioBr :0, users :1

duration : 69, tx :34425180, rx :130886, txbr :2656, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 71, tx :35290480, rx :132800, txbr :3459, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 73, tx :36151592, rx :134791, txbr :3444, rxbr :7, txAudioBr :84, rxAudioBr :0, users :1

duration : 75, tx :37051287, rx :136650, txbr :3595, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 77, tx :37827280, rx :139394, txbr :3108, rxbr :10, txAudioBr :73, rxAudioBr :0, users :1

duration : 79, tx :38412826, rx :142410, txbr :2342, rxbr :12, txAudioBr :83, rxAudioBr :0, users :1

duration : 81, tx :39167829, rx :144600, txbr :3018, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 83, tx :39911564, rx :146591, txbr :2974, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 85, tx :40677058, rx :148505, txbr :3061, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 87, tx :41438106, rx :150454, txbr :3042, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 89, tx :42131945, rx :152875, txbr :2775, rxbr :9, txAudioBr :83, rxAudioBr :0, users :1

duration : 91, tx :42793738, rx :155777, txbr :2648, rxbr :11, txAudioBr :79, rxAudioBr :0, users :1

duration : 93, tx :43543217, rx :157948, txbr :2997, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

duration : 95, tx :44306698, rx :159910, txbr :3053, rxbr :7, txAudioBr :84, rxAudioBr :0, users :1

duration : 97, tx :45084140, rx :162033, txbr :3111, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

